img,output,flag,username,timestamp
C:\project\flagged\img\1b67c8b95c2d89a56d2bf6c64ff80f98805c702a\tmpxi1qtek_.jpg,C:\project\flagged\output\tmpfjkmjrvq.json,,,2023-10-06 13:45:04.791306
c:\project\flagged\img\8a41b2530b9995eae9b9012b8ad3f97e0359a507\tmp4ongjn3k.jpg,c:\project\flagged\output\tmpi58jqwiv.json,,,2023-10-06 18:25:35.365148
